Acetone (CH3COCH3) 298K absorption cross sections 												
												
IUPAC 2005 Recommendation												
http://www.iupac-kinetic.ch.cam.ac.uk												

Gierczak, T., Burkholder, J. B., Bauerle, S. and Ravishankara, A. R., Chem. Phys. 231, 229, 1998.

wavelength (nm)	sig (298) (cm2)
215	1.67E-21
216	1.8E-21
217	1.96E-21
218	2.12E-21
219	2.28E-21
220	2.46E-21
221	2.7E-21
222	2.94E-21
223	3.18E-21
224	3.46E-21
225	3.8E-21
226	4.19E-21
227	4.56E-21
228	4.92E-21
229	5.35E-21
230	5.84E-21
231	6.37E-21
232	6.93E-21
233	7.5E-21
234	8.15E-21
235	8.85E-21
236	9.56E-21
237	1.03E-20
238	1.11E-20
239	1.21E-20
240	1.3E-20
241	1.4E-20
242	1.5E-20
243	1.6E-20
244	1.72E-20
245	1.83E-20
246	1.95E-20
247	2.07E-20
248	2.2E-20
249	2.33E-20
250	2.47E-20
251	2.6E-20
252	2.74E-20
253	2.87E-20
254	3.01E-20
255	3.15E-20
256	3.3E-20
257	3.44E-20
258	3.57E-20
259	3.69E-20
260	3.81E-20
261	3.94E-20
262	4.07E-20
263	4.2E-20
264	4.32E-20
265	4.41E-20
266	4.49E-20
267	4.56E-20
268	4.64E-20
269	4.72E-20
270	4.79E-20
271	4.87E-20
272	4.91E-20
273	4.94E-20
274	4.94E-20
275	4.94E-20
276	4.93E-20
277	4.92E-20
278	4.94E-20
279	4.92E-20
280	4.91E-20
281	4.86E-20
282	4.79E-20
283	4.71E-20
284	4.62E-20
285	4.54E-20
286	4.44E-20
287	4.36E-20
288	4.28E-20
289	4.15E-20
290	4.06E-20
291	3.95E-20
292	3.82E-20
293	3.71E-20
294	3.57E-20
295	3.42E-20
296	3.26E-20
297	3.11E-20
298	2.98E-20
299	2.82E-20
300	2.67E-20
301	2.58E-20
302	2.45E-20
303	2.3E-20
304	2.18E-20
305	2.05E-20
306	1.89E-20
307	1.75E-20
308	1.61E-20
309	1.49E-20
310	1.36E-20
311	1.24E-20
312	1.14E-20
313	1.06E-20
314	9.44E-21
315	8.37E-21
316	7.6E-21
317	6.84E-21
318	5.98E-21
319	5.23E-21
320	4.55E-21
321	4.11E-21
322	3.48E-21
323	2.94E-21
324	2.48E-21
325	2.1E-21
326	1.74E-21
327	1.41E-21
328	1.13E-21
329	9.13E-22
330	7.4E-22
331	5.86E-22
332	4.65E-22
333	3.75E-22
334	3.11E-22
335	2.48E-22
336	1.99E-22
337	1.62E-22
338	1.35E-22
339	1.13E-22
340	9.12E-23
341	7.29E-23
342	5.83E-23
343	4.94E-23
344	3.65E-23
345	3.01E-23
346	2.35E-23
347	1.58E-23
348	1.11E-23
349	1.07E-23
