i-C3H7CHO (i-butyraldehyde, 2-methylpropanal) photolysis cross-sections	

From MPI-Mainz-UV-VIS Spectral Atlas (www.atmosphere.mpg.de/enid/2295) 	

R. D. Martinez, A. A. Buitrago, N. W. Howell, C. H. Hearn, and J. A. Joens, Atmos. Env. 26A, 785 (1992)	

Scale Factor: 1.0E-21 cm2

wavelength (nm)	sig (1.0E-21 cm2)
202	9.29
206	4.55
210	2.27
214	1.63
218	1.09
222	0.62
226	0.7
230	1.05
234	1.66
238	2.61
242	4.02
246	6.01
250	8.73
254	12.23
258	16.59
262	21.9
266	27.6
270	34
274	40
278	46.3
280	49
281	50.2
282	50.8
283	51.7
284	52.9
285	54.2
286	55.7
287	56.6
288	56.9
289	57.5
290	57.8
291	57.5
292	57.6
293	57.9
294	58.3
295	58.8
296	58.6
297	57.5
298	56.8
299	56.4
300	55.5
301	54.2
302	53.7
303	53.1
304	52.4
305	51.7
306	50
307	47.3
308	45.2
309	43.8
310	42.5
311	40.8
312	39.3
313	38.2
314	36.8
315	35.5
316	34.1
317	31.4
318	27.9
319	25.5
320	23.8
321	22.4
322	20.9
323	19.31
324	18.11
325	16.94
326	15.6
327	14.58
328	13.43
329	11.5
330	9.18
331	7.6
332	6.61
333	5.79
334	5.1
335	4.45
336	3.73
337	3.17
338	2.79
339	2.38
340	1.87
341	1.65
342	1.38
343	0.77
344	0.47
345	0.34
346	0.25
347	0.19
348	0.15
349	0.13
350	0.11
351	0.1
352	0.09
353	0.08
354	0.05
355	0.04
356	0.03
357	0.01
358	0.01
359	0.01
360	0
361	0
362	0
363	0
364	0
365	0
