 PRINT STREAM NO.  1
 TIME        CRESOL      H2O2        NO          NO2         OH          RO2
  0.0000      4.9416E+11  4.9416E+11  0.0000      0.0000      0.0000      0.0000
  1.0000E+00  4.9391E+11  4.9401E+11  0.0000      0.0000      1.1552E+07  5.1986E+07
  2.0000E+00  4.9364E+11  4.9387E+11  0.0000      0.0000      1.1525E+07  1.0507E+08
  3.0000E+00  4.9338E+11  4.9372E+11  0.0000      0.0000      1.1498E+07  1.5563E+08
  4.0000E+00  4.9312E+11  4.9358E+11  0.0000      0.0000      1.1472E+07  2.0515E+08
  5.0000E+00  4.9285E+11  4.9344E+11  0.0000      0.0000      1.1447E+07  2.5678E+08
  6.0000E+00  4.9259E+11  4.9330E+11  0.0000      0.0000      1.1422E+07  2.9923E+08
  7.0000E+00  4.9233E+11  4.9316E+11  0.0000      0.0000      1.1397E+07  3.4747E+08
  8.0000E+00  4.9207E+11  4.9303E+11  0.0000      0.0000      1.1374E+07  3.8532E+08
  9.0000E+00  4.9182E+11  4.9289E+11  0.0000      0.0000      1.1350E+07  4.2579E+08
  1.0000E+01  4.9156E+11  4.9277E+11  0.0000      0.0000      1.1328E+07  4.6847E+08
  1.1000E+01  4.9130E+11  4.9264E+11  0.0000      0.0000      1.1305E+07  4.9485E+08
  1.2000E+01  4.9105E+11  4.9252E+11  0.0000      0.0000      1.1284E+07  5.3087E+08
  1.3000E+01  4.9080E+11  4.9240E+11  0.0000      0.0000      1.1263E+07  5.5754E+08
  1.4000E+01  4.9054E+11  4.9229E+11  0.0000      0.0000      1.1243E+07  5.8415E+08
  1.5000E+01  4.9029E+11  4.9217E+11  0.0000      0.0000      1.1223E+07  6.0166E+08
  1.6000E+01  4.9004E+11  4.9207E+11  0.0000      0.0000      1.1203E+07  6.2708E+08
  1.7000E+01  4.8979E+11  4.9196E+11  0.0000      0.0000      1.1185E+07  6.4344E+08
  1.8000E+01  4.8954E+11  4.9185E+11  0.0000      0.0000      1.1166E+07  6.5930E+08
  1.9000E+01  4.8929E+11  4.9175E+11  0.0000      0.0000      1.1148E+07  6.7345E+08
  2.0000E+01  4.8904E+11  4.9165E+11  0.0000      0.0000      1.1131E+07  6.8811E+08
  2.1000E+01  4.8879E+11  4.9156E+11  0.0000      0.0000      1.1114E+07  7.0077E+08
  2.2000E+01  4.8855E+11  4.9146E+11  0.0000      0.0000      1.1097E+07  7.1260E+08
  2.3000E+01  4.8830E+11  4.9137E+11  0.0000      0.0000      1.1081E+07  7.1822E+08
  2.4000E+01  4.8805E+11  4.9128E+11  0.0000      0.0000      1.1064E+07  7.2795E+08
  2.5000E+01  4.8781E+11  4.9118E+11  0.0000      0.0000      1.1049E+07  7.3213E+08
  2.6000E+01  4.8757E+11  4.9110E+11  0.0000      0.0000      1.1033E+07  7.3660E+08
  2.7000E+01  4.8732E+11  4.9101E+11  0.0000      0.0000      1.1018E+07  7.4398E+08
  2.8000E+01  4.8708E+11  4.9092E+11  0.0000      0.0000      1.1003E+07  7.4699E+08
  2.9000E+01  4.8684E+11  4.9084E+11  0.0000      0.0000      1.0988E+07  7.4960E+08
  3.0000E+01  4.8660E+11  4.9075E+11  0.0000      0.0000      1.0974E+07  7.5227E+08
  3.1000E+01  4.8636E+11  4.9067E+11  0.0000      0.0000      1.0960E+07  7.5449E+08
  3.2000E+01  4.8612E+11  4.9058E+11  0.0000      0.0000      1.0945E+07  7.5630E+08
  3.3000E+01  4.8588E+11  4.9050E+11  0.0000      0.0000      1.0932E+07  7.5777E+08
  3.4000E+01  4.8564E+11  4.9042E+11  0.0000      0.0000      1.0918E+07  7.5893E+08
  3.5000E+01  4.8540E+11  4.9034E+11  0.0000      0.0000      1.0904E+07  7.5998E+08
  3.6000E+01  4.8516E+11  4.9026E+11  0.0000      0.0000      1.0891E+07  7.6071E+08
  3.7000E+01  4.8493E+11  4.9018E+11  0.0000      0.0000      1.0878E+07  7.6117E+08
  3.8000E+01  4.8469E+11  4.9010E+11  0.0000      0.0000      1.0864E+07  7.6141E+08
  3.9000E+01  4.8446E+11  4.9002E+11  0.0000      0.0000      1.0852E+07  7.6141E+08
  4.0000E+01  4.8422E+11  4.8994E+11  0.0000      0.0000      1.0839E+07  7.6147E+08
  4.1000E+01  4.8399E+11  4.8986E+11  0.0000      0.0000      1.0826E+07  7.6134E+08
  4.2000E+01  4.8376E+11  4.8978E+11  0.0000      0.0000      1.0813E+07  7.6106E+08
  4.3000E+01  4.8352E+11  4.8971E+11  0.0000      0.0000      1.0801E+07  7.6106E+08
  4.4000E+01  4.8329E+11  4.8963E+11  0.0000      0.0000      1.0789E+07  7.6065E+08
  4.5000E+01  4.8306E+11  4.8955E+11  0.0000      0.0000      1.0776E+07  7.6017E+08
  4.6000E+01  4.8283E+11  4.8947E+11  0.0000      0.0000      1.0764E+07  7.6017E+08
  4.7000E+01  4.8260E+11  4.8940E+11  0.0000      0.0000      1.0752E+07  7.5963E+08
  4.8000E+01  4.8237E+11  4.8932E+11  0.0000      0.0000      1.0740E+07  7.5892E+08
  4.9000E+01  4.8214E+11  4.8924E+11  0.0000      0.0000      1.0728E+07  7.5892E+08
  5.0000E+01  4.8191E+11  4.8917E+11  0.0000      0.0000      1.0717E+07  7.5821E+08
  5.1000E+01  4.8169E+11  4.8909E+11  0.0000      0.0000      1.0705E+07  7.5821E+08
  5.2000E+01  4.8146E+11  4.8901E+11  0.0000      0.0000      1.0693E+07  7.5752E+08
  5.3000E+01  4.8123E+11  4.8894E+11  0.0000      0.0000      1.0682E+07  7.5685E+08
  5.4000E+01  4.8101E+11  4.8886E+11  0.0000      0.0000      1.0670E+07  7.5685E+08
  5.5000E+01  4.8078E+11  4.8878E+11  0.0000      0.0000      1.0659E+07  7.5624E+08
  5.6000E+01  4.8056E+11  4.8871E+11  0.0000      0.0000      1.0648E+07  7.5624E+08
  5.7000E+01  4.8033E+11  4.8863E+11  0.0000      0.0000      1.0637E+07  7.5555E+08
  5.8000E+01  4.8011E+11  4.8856E+11  0.0000      0.0000      1.0626E+07  7.5555E+08
  5.9000E+01  4.7989E+11  4.8848E+11  0.0000      0.0000      1.0615E+07  7.5497E+08
  6.0000E+01  4.7966E+11  4.8840E+11  0.0000      0.0000      1.0604E+07  7.5497E+08
  6.1000E+01  4.7944E+11  4.8833E+11  0.0000      0.0000      1.0593E+07  7.5448E+08
  6.2000E+01  4.7922E+11  4.8825E+11  0.0000      0.0000      1.0582E+07  7.5448E+08
  6.3000E+01  4.7900E+11  4.8818E+11  0.0000      0.0000      1.0572E+07  7.5448E+08
  6.4000E+01  4.7878E+11  4.8810E+11  0.0000      0.0000      1.0561E+07  7.5410E+08
  6.5000E+01  4.7856E+11  4.8803E+11  0.0000      0.0000      1.0550E+07  7.5410E+08
  6.6000E+01  4.7834E+11  4.8795E+11  0.0000      0.0000      1.0540E+07  7.5381E+08
  6.7000E+01  4.7812E+11  4.8787E+11  0.0000      0.0000      1.0530E+07  7.5381E+08
  6.8000E+01  4.7791E+11  4.8780E+11  0.0000      0.0000      1.0519E+07  7.5359E+08
  6.9000E+01  4.7769E+11  4.8772E+11  0.0000      0.0000      1.0509E+07  7.5359E+08
  7.0000E+01  4.7747E+11  4.8765E+11  0.0000      0.0000      1.0499E+07  7.5359E+08
  7.1000E+01  4.7726E+11  4.8757E+11  0.0000      0.0000      1.0489E+07  7.5351E+08
  7.2000E+01  4.7704E+11  4.8750E+11  0.0000      0.0000      1.0479E+07  7.5351E+08
  7.3000E+01  4.7683E+11  4.8742E+11  0.0000      0.0000      1.0469E+07  7.5351E+08
  7.4000E+01  4.7661E+11  4.8735E+11  0.0000      0.0000      1.0459E+07  7.5355E+08
  7.5000E+01  4.7640E+11  4.8727E+11  0.0000      0.0000      1.0449E+07  7.5355E+08
  7.6000E+01  4.7618E+11  4.8719E+11  0.0000      0.0000      1.0439E+07  7.5372E+08
  7.7000E+01  4.7597E+11  4.8712E+11  0.0000      0.0000      1.0429E+07  7.5372E+08
  7.8000E+01  4.7576E+11  4.8704E+11  0.0000      0.0000      1.0420E+07  7.5372E+08
  7.9000E+01  4.7555E+11  4.8697E+11  0.0000      0.0000      1.0410E+07  7.5399E+08
  8.0000E+01  4.7533E+11  4.8689E+11  0.0000      0.0000      1.0400E+07  7.5399E+08
  8.1000E+01  4.7512E+11  4.8682E+11  0.0000      0.0000      1.0391E+07  7.5399E+08
  8.2000E+01  4.7491E+11  4.8674E+11  0.0000      0.0000      1.0381E+07  7.5446E+08
  8.3000E+01  4.7470E+11  4.8667E+11  0.0000      0.0000      1.0372E+07  7.5446E+08
  8.4000E+01  4.7449E+11  4.8659E+11  0.0000      0.0000      1.0363E+07  7.5446E+08
  8.5000E+01  4.7429E+11  4.8652E+11  0.0000      0.0000      1.0353E+07  7.5507E+08
  8.6000E+01  4.7408E+11  4.8644E+11  0.0000      0.0000      1.0344E+07  7.5507E+08
  8.7000E+01  4.7387E+11  4.8637E+11  0.0000      0.0000      1.0335E+07  7.5507E+08
  8.8000E+01  4.7366E+11  4.8629E+11  0.0000      0.0000      1.0326E+07  7.5507E+08
  8.9000E+01  4.7346E+11  4.8622E+11  0.0000      0.0000      1.0317E+07  7.5578E+08
  9.0000E+01  4.7325E+11  4.8614E+11  0.0000      0.0000      1.0308E+07  7.5578E+08
  9.1000E+01  4.7304E+11  4.8607E+11  0.0000      0.0000      1.0299E+07  7.5578E+08
  9.2000E+01  4.7284E+11  4.8599E+11  0.0000      0.0000      1.0290E+07  7.5659E+08
  9.3000E+01  4.7263E+11  4.8592E+11  0.0000      0.0000      1.0281E+07  7.5659E+08
  9.4000E+01  4.7243E+11  4.8584E+11  0.0000      0.0000      1.0272E+07  7.5659E+08
  9.5000E+01  4.7223E+11  4.8576E+11  0.0000      0.0000      1.0263E+07  7.5659E+08
  9.6000E+01  4.7202E+11  4.8569E+11  0.0000      0.0000      1.0255E+07  7.5748E+08
  9.7000E+01  4.7182E+11  4.8561E+11  0.0000      0.0000      1.0246E+07  7.5748E+08
  9.8000E+01  4.7162E+11  4.8554E+11  0.0000      0.0000      1.0238E+07  7.5748E+08
  9.9000E+01  4.7142E+11  4.8546E+11  0.0000      0.0000      1.0229E+07  7.5872E+08
  1.0000E+02  4.7122E+11  4.8539E+11  0.0000      0.0000      1.0221E+07  7.5872E+08
  1.0100E+02  4.7101E+11  4.8531E+11  0.0000      0.0000      1.0212E+07  7.5872E+08
  1.0200E+02  4.7081E+11  4.8524E+11  0.0000      0.0000      1.0204E+07  7.5872E+08
  1.0300E+02  4.7061E+11  4.8516E+11  0.0000      0.0000      1.0195E+07  7.5872E+08
  1.0400E+02  4.7042E+11  4.8509E+11  0.0000      0.0000      1.0187E+07  7.6004E+08
  1.0500E+02  4.7022E+11  4.8501E+11  0.0000      0.0000      1.0179E+07  7.6004E+08
  1.0600E+02  4.7002E+11  4.8494E+11  0.0000      0.0000      1.0171E+07  7.6004E+08
  1.0700E+02  4.6982E+11  4.8486E+11  0.0000      0.0000      1.0162E+07  7.6004E+08
  1.0800E+02  4.6962E+11  4.8479E+11  0.0000      0.0000      1.0154E+07  7.6144E+08
  1.0900E+02  4.6943E+11  4.8471E+11  0.0000      0.0000      1.0146E+07  7.6144E+08
  1.1000E+02  4.6923E+11  4.8464E+11  0.0000      0.0000      1.0138E+07  7.6144E+08
