 PRINT STREAM NO.  1
 TIME        CRESOL      H2O2        NO          NO2         OH          RO2
  0.0000      4.9416E+11  4.9416E+11  1.2354E+11  1.2354E+11  0.0000      0.0000
  1.0000E+00  4.9386E+11  4.9401E+11  1.2549E+11  1.2155E+11  1.6685E+07  3.8193E+07
  2.0000E+00  4.9341E+11  4.9386E+11  1.2719E+11  1.1976E+11  2.2330E+07  6.6658E+07
  3.0000E+00  4.9285E+11  4.9370E+11  1.2869E+11  1.1816E+11  2.6877E+07  8.8647E+07
  4.0000E+00  4.9219E+11  4.9354E+11  1.3001E+11  1.1670E+11  3.0462E+07  1.0559E+08
  5.0000E+00  4.9146E+11  4.9338E+11  1.3120E+11  1.1536E+11  3.3239E+07  1.1807E+08
  6.0000E+00  4.9068E+11  4.9322E+11  1.3228E+11  1.1411E+11  3.5350E+07  1.2704E+08
  7.0000E+00  4.8986E+11  4.9305E+11  1.3326E+11  1.1294E+11  3.6921E+07  1.3240E+08
  8.0000E+00  4.8901E+11  4.9289E+11  1.3417E+11  1.1184E+11  3.8061E+07  1.3818E+08
  9.0000E+00  4.8814E+11  4.9272E+11  1.3503E+11  1.1078E+11  3.8860E+07  1.4092E+08
  1.0000E+01  4.8726E+11  4.9256E+11  1.3583E+11  1.0977E+11  3.9393E+07  1.4302E+08
  1.1000E+01  4.8637E+11  4.9239E+11  1.3659E+11  1.0879E+11  3.9719E+07  1.4391E+08
  1.2000E+01  4.8548E+11  4.9222E+11  1.3732E+11  1.0784E+11  3.9887E+07  1.4456E+08
  1.3000E+01  4.8459E+11  4.9206E+11  1.3802E+11  1.0691E+11  3.9934E+07  1.4456E+08
  1.4000E+01  4.8370E+11  4.9189E+11  1.3869E+11  1.0601E+11  3.9890E+07  1.4426E+08
  1.5000E+01  4.8282E+11  4.9173E+11  1.3935E+11  1.0512E+11  3.9780E+07  1.4337E+08
  1.6000E+01  4.8194E+11  4.9156E+11  1.3998E+11  1.0425E+11  3.9620E+07  1.4280E+08
  1.7000E+01  4.8107E+11  4.9140E+11  1.4060E+11  1.0339E+11  3.9424E+07  1.4216E+08
  1.8000E+01  4.8020E+11  4.9124E+11  1.4121E+11  1.0255E+11  3.9203E+07  1.4043E+08
  1.9000E+01  4.7934E+11  4.9107E+11  1.4179E+11  1.0173E+11  3.8964E+07  1.3936E+08
  2.0000E+01  4.7849E+11  4.9091E+11  1.4237E+11  1.0091E+11  3.8714E+07  1.3827E+08
  2.1000E+01  4.7765E+11  4.9075E+11  1.4293E+11  1.0011E+11  3.8457E+07  1.3719E+08
  2.2000E+01  4.7682E+11  4.9058E+11  1.4348E+11  9.9319E+10  3.8196E+07  1.3719E+08
  2.3000E+01  4.7599E+11  4.9042E+11  1.4402E+11  9.8540E+10  3.7934E+07  1.3613E+08
  2.4000E+01  4.7517E+11  4.9026E+11  1.4454E+11  9.7772E+10  3.7671E+07  1.3456E+08
  2.5000E+01  4.7436E+11  4.9010E+11  1.4506E+11  9.7015E+10  3.7411E+07  1.3307E+08
  2.6000E+01  4.7356E+11  4.8994E+11  1.4556E+11  9.6269E+10  3.7153E+07  1.3307E+08
  2.7000E+01  4.7277E+11  4.8978E+11  1.4605E+11  9.5533E+10  3.6898E+07  1.3165E+08
  2.8000E+01  4.7198E+11  4.8962E+11  1.4654E+11  9.4808E+10  3.6646E+07  1.3031E+08
  2.9000E+01  4.7121E+11  4.8946E+11  1.4701E+11  9.4094E+10  3.6398E+07  1.3031E+08
  3.0000E+01  4.7043E+11  4.8930E+11  1.4747E+11  9.3389E+10  3.6154E+07  1.2906E+08
  3.1000E+01  4.6967E+11  4.8914E+11  1.4792E+11  9.2695E+10  3.5914E+07  1.2906E+08
  3.2000E+01  4.6891E+11  4.8898E+11  1.4836E+11  9.2011E+10  3.5678E+07  1.2716E+08
