Biacetyl (CH3C(O)C(O)CH3) absorption cross sections (1 bar, 298 K)

Horowitz, A., R. Meller, and G. K. Moortgat, 
The UV-VIS absorption cross sectiono of the a-dicarbonyl compounds:
pyruvic acid, biacetyl, and glyoxal.
J. Photochem. Photobiol. A:Chemistry, v.146, pp.19-27, 2001.

Quantum Yield

Christopher N. Plum, Eugenlo Sanhueza, Roger Atkinson, William P. L. Carter and James N. Pitts Jr
OH Radical Rate Constants and Photolysis Rates of a-Dicarbonyls
Environ. Sci. Technol., Vol. 17, No. 8, 1983, p.480

phi (CH3CO + CH3CO) = 0.158 from 290 to 460 nm

wavelength (nm)	sigma (10**20 cm2 molecule-1)
206	10.30
207	9.860
208	9.140
209	7.970
210	6.740
211	5.820
212	5.180
213	4.700
214	4.290
215	3.900
216	3.550
217	3.210
218	2.900
219	2.580
220	2.260
221	1.960
222	1.700
223	1.500
224	1.350
225	1.270
226	1.230
227	1.240
228	1.280
229	1.340
230	1.410
231	1.470
232	1.530
233	1.590
234	1.680
235	1.800
236	1.920
237	2.090
238	2.150
239	2.210
240	2.290
241	2.390
242	2.540
243	2.690
244	2.800
245	2.890
246	2.940
247	2.990
248	3.050
249	3.150
250	3.310
251	3.480
252	3.600
253	3.680
254	3.730
255	3.750
256	3.780
257	3.840
258	3.940
259	4.090
260	4.270
261	4.410
262	4.460
263	4.490
264	4.490
265	4.480
266	4.490
267	4.540
268	4.630
269	4.810
270	4.950
271	5.000
272	4.980
273	3.920
274	4.850
275	4.760
276	4.700
277	4.680
278	4.670
279	4.680
280	4.710
281	4.730
282	4.650
283	4.500
284	4.320
285	4.140
286	3.940
287	3.770
288	3.620
289	3.500
290	3.380
291	3.280
292	3.200
293	3.110
294	2.960
295	2.730
296	2.500
297	2.290
298	2.100
299	1.930
300	1.770
301	1.640
302	1.540
303	1.460
304	1.380
305	1.320
306	1.270
307	1.210
308	1.100
309	0.950
310	0.815
311	0.707
312	0.616
313	0.539
314	0.480
315	0.438
316	0.405
317	0.380
318	0.360
319	0.344
320	0.334
321	0.331
322	0.321
323	0.295
324	0.261
325	0.232
326	0.212
327	0.200
328	0.194
329	0.193
330	0.196
331	0.203
332	0.212
333	0.199
334	0.216
335	0.231
336	0.245
337	0.263
338	0.284
339	0.296
340	0.298
341	0.318
342	0.346
343	0.365
344	0.387
345	0.412
346	0.442
347	0.469
348	0.499
349	0.534
350	0.565
351	0.607
352	0.650
353	0.683
354	0.729
355	0.771
356	0.815
357	0.864
358	0.916
359	0.966
360	1.020
361	1.080
362	1.190
363	1.260
364	1.330
365	1.410
366	1.490
367	1.570
368	1.660
369	1.760
370	1.850
371	1.940
372	2.020
373	2.100
374	2.170
375	2.250
376	2.330
377	2.410
378	2.500
379	2.580
380	2.680
381	2.790
382	2.920
383	3.070
384	3.220
385	3.390
386	3.530
387	3.670
388	3.820
389	4.000
390	4.170
391	4.340
392	4.470
393	4.560
394	4.620
395	4.670
396	4.730
397	4.820
398	4.920
399	5.020
400	5.120
401	5.190
402	5.260
403	5.380
404	5.540
405	5.750
406	6.000
407	6.260
408	6.470
409	6.590
410	6.690
411	6.820
412	6.970
413	7.110
414	7.310
415	7.470
416	7.570
417	7.620
418	7.510
419	7.390
420	7.370
421	7.320
422	7.250
423	7.240
424	7.130
425	6.980
426	6.810
427	6.570
428	6.430
429	6.340
430	6.310
431	6.400
432	6.630
433	6.780
434	6.780
435	6.720
436	6.560
437	6.400
438	6.420
439	6.280
440	6.510
441	6.670
442	6.990
443	7.230
444	6.850
445	6.490
446	5.900
447	5.430
448	5.010
449	4.330
450	4.060
451	3.440
452	3.200
453	2.650
454	2.160
455	1.720
456	1.390
457	1.140
458	0.853
459	0.726
460	0.549
461	0.454
462	0.356
463	0.280
464	0.219
465	0.179
466	0.143
467	0.118
468	0.096
469	0.081
470	0.069
471	0.059
472	0.051
473	0.044
474	0.040
475	0.035
476	0.031
477	0.028
478	0.025
479	0.023
480	0.021
481	0.019
482	0.018
483	0.017
484	0.016
485	0.015
486	0.015
487	0.015
488	0.015
489	0.016
490	0.018
491	0.019
492	0.021

