methylglyoxal (CH3COCHO) abs. cross sections recommended by JPL 2005

Same as IUPAC 2005 Recommendation at 225 nm and above
http://www.iupac-kinetic.ch.cam.ac.uk

taken from:
MPI_Mainz Spectral Atlas (http://www.atmosphere.mpg.de/enid/2295)

1.  T.A. Staffelbach, J.J. Orlando, G.S. Tyndall, and J.G. Calvert, J. Geophys. Res. 100, 14189 (1995).
2.  R. Meller, W. Raber, J.N. Crowley, M.E. Jenkin, and G.K. Moortgat, J. Photochem. Photobiol., A: Chemistry 62, 163 (1991).

200-218 nm  Staffelbach et al 1995	
219-235	nm  average of Staffelbach et al, 1995 and Meller et al. 1991	
236-493	nm  Meller et a. 1991	

TEMPERATURE:   295-298 K
PRESSURE:  1 bar

WAVELENGTH (NM)	SIGMA 1E20*(1/CM**2)
200	33.8
201	30.6
202	27
203	23
204	18.6
205	15.3
206	12.1
207	10
208	8.52
209	7.43
210	6.34
211	5.58
212	4.73
213	4.16
214	3.57
215	3.08
216	2.65
217	2.33
218	2.1
219	1.46
220	1.45
221	1.44
222	1.43
223	1.44
224	1.43
225	1.44
226	1.46
227	1.48
228	1.51
229	1.53
230	1.6
231	1.61
232	1.65
233	1.67
234	1.75
235	1.83
236	1.86
237	1.93
238	1.96
239	2
240	2.07
241	2.14
242	2.19
243	2.23
244	2.27
245	2.3
246	2.33
247	2.38
248	2.46
249	2.57
250	2.64
251	2.68
252	2.71
253	2.73
254	2.76
255	2.82
256	2.93
257	3.06
258	3.17
259	3.25
260	3.29
261	3.33
262	3.36
263	3.42
264	3.49
265	3.59
266	3.73
267	3.87
268	4.02
269	4.13
270	4.2
271	4.22
272	4.23
273	4.27
274	4.31
275	4.37
276	4.49
277	4.64
278	4.77
279	4.87
280	4.92
281	4.93
282	4.9
283	4.83
284	4.76
285	4.7
286	4.66
287	4.65
288	4.73
289	4.84
290	4.92
291	4.9
292	4.81
293	4.7
294	4.57
295	4.37
296	4.17
297	4
298	3.88
299	3.76
300	3.69
301	3.7
302	3.74
303	3.74
304	3.62
305	3.38
306	3.15
307	2.92
308	2.71
309	2.52
310	2.34
311	2.18
312	2.06
313	1.97
314	1.9
315	1.86
316	1.86
317	1.87
318	1.82
319	1.68
320	1.5
321	1.34
322	1.22
323	1.14
324	1.01
325	0.924
326	0.848
327	0.774
328	0.716
329	0.672
330	0.647
331	0.62
332	0.608
333	0.525
334	0.531
335	0.495
336	0.455
337	0.408
338	0.362
339	0.346
340	0.322
341	0.3
342	0.289
343	0.288
344	0.289
345	0.295
346	0.308
347	0.325
348	0.339
349	0.362
350	0.385
351	0.424
352	0.463
353	0.492
354	0.523
355	0.556
356	0.597
357	0.635
358	0.676
359	0.72
360	0.765
361	0.816
362	0.872
363	0.933
364	1
365	1.08
366	1.15
367	1.23
368	1.31
369	1.4
370	1.47
371	1.55
372	1.64
373	1.73
374	1.81
375	1.9
376	2.02
377	2.1
378	2.18
379	2.3
380	2.42
381	2.54
382	2.7
383	2.88
384	3.03
385	3.2
386	3.39
387	3.61
388	3.71
389	3.88
390	4.03
391	4.22
392	4.31
393	4.47
394	4.57
395	4.67
396	4.87
397	5.08
398	5.26
399	5.46
400	5.62
401	5.9
402	6.07
403	6.36
404	6.55
405	6.92
406	7.2
407	7.59
408	7.95
409	8.12
410	8.52
411	8.64
412	9.07
413	9.38
414	9.62
415	9.69
416	9.72
417	10
418	10.1
419	10.1
420	10.2
421	10.3
422	10.5
423	10.5
424	10.2
425	10.3
426	10.2
427	9.85
428	10
429	9.94
430	10.4
431	10.5
432	9.79
433	10.6
434	10.5
435	10.8
436	11.1
437	10
438	10.6
439	11
440	9.94
441	10.4
442	10.2
443	10.2
444	11.2
445	9.62
446	8.91
447	9.85
448	9.19
449	10.1
450	8.68
451	6.35
452	6.33
453	6.08
454	4.47
455	3.69
456	3.09
457	2.47
458	1.81
459	1.28
460	0.914
461	0.795
462	0.643
463	0.48
464	0.332
465	0.268
466	0.228
467	0.188
468	0.16
469	0.133
470	0.108
471	0.0998
472	0.0897
473	0.0776
474	0.068
475	0.0627
476	0.0561
477	0.0515
478	0.0483
479	0.0462
480	0.0392
481	0.0366
482	0.0315
483	0.0278
484	0.0271
485	0.0243
486	0.0217
487	0.0186
488	0.0181
489	0.017
490	0.0174
491	0.0162
492	0.0161
493	0.0138
