Glyoxal (CHOCHO) absorption cross section (1 bar, 296K)

Volkamer, R., Spietz, P., Burrows, J. and Platt, U: 
High-resolution absorption cross-section of glyoxal 
in the uv-vis and ir spectral ranges.
J. Photochem. Photobiol. A:Chemistry, v.172, pp.35-46, 2005.

taken from JPL 2005
MPI_Mainz Spectral Atlas (http://www.atmosphere.mpg.de/enid/2295)

296 K, 1 nm resolution 

wavelength (nm)	xsection (1^-20 cm2 per molec)
250	1.73
251	1.52
252	1.48
253	1.55
254	1.6
255	1.67
256	1.62
257	1.81
258	1.82
259	1.85
260	1.83
261	1.96
262	2.03
263	2.14
264	2.18
265	2.26
266	2.33
267	2.37
268	2.36
269	2.48
270	2.51
271	2.61
272	2.72
273	2.81
274	2.92
275	3
276	3.06
277	3.09
278	3.08
279	3.09
280	3.13
281	3.22
282	3.32
283	3.45
284	3.57
285	3.67
286	3.8
287	3.79
288	3.81
289	3.8
290	3.73
291	3.64
292	3.65
293	3.68
294	3.73
295	3.81
296	3.82
297	3.92
298	4.07
299	4.12
300	4.04
301	3.91
302	3.78
303	3.57
304	3.35
305	3.24
306	3.22
307	3.2
308	3.15
309	3.12
310	3.1
311	3.22
312	3.34
313	3.39
314	3.23
315	2.8
316	2.65
317	2.46
318	2.21
319	1.93
320	1.85
321	1.89
322	1.77
323	1.72
324	1.68
325	1.6
326	1.61
327	1.7
328	1.94
329	1.86
330	1.69
331	1.13
332	1.05
333	0.966
334	0.919
335	0.737
336	0.63
337	0.589
338	0.647
339	0.585
340	0.553
341	0.563
342	0.51
343	0.499
344	0.649
345	0.624
346	0.733
347	0.631
348	0.604
349	0.415
350	0.391
351	0.395
352	0.423
353	0.415
354	0.403
355	0.422
356	0.443
357	0.431
358	0.471
359	0.503
360	0.546
361	0.627
362	0.706
363	0.639
364	0.68
365	0.665
366	0.743
367	0.86
368	1.01
369	1.06
370	1.14
371	1.18
372	1.14
373	1.21
374	1.35
375	1.33
376	1.38
377	1.47
378	1.61
379	1.53
380	1.93
381	2.46
382	2.02
383	2.07
384	1.94
385	1.89
386	1.83
387	2.29
388	3
389	3.21
390	3.48
391	3.92
392	3.8
393	2.85
394	3.15
395	3.86
396	3.68
397	3.36
398	4.32
399	4.35
400	3.87
401	4.46
402	5.84
403	7.16
404	6.24
405	4.49
406	4.48
407	4.07
408	3.44
409	4.01
410	5.66
411	7.22
412	7.41
413	10.8
414	10.1
415	10.2
416	6.07
417	6.83
418	7.87
419	9.13
420	5.6
421	7.19
422	6.99
423	13
424	8.24
425	10.4
426	16.4
427	16.1
428	21.4
429	6.5
430	7.03
431	6.52
432	6.08
433	5.66
434	6.81
435	7.66
436	13.2
437	9.19
438	13.8
439	12.1
440	25.9
441	13.1
442	9.01
443	11.1
444	13.5
445	15.1
446	7.82
447	3.73
448	4.14
449	5.53
450	8.68
451	13.8
452	15.9
453	30.4
454	26.9
455	52
456	15.7
457	2.66
458	2.2
459	0.902
460	1.2
461	0.883
462	0.588
463	0.322
464	0.339
465	0.33
466	0.416
467	0.522
468	0.149
469	0.091
470	0.076
471	0.086
472	0.092
473	0.11
474	0.108
475	0.159
476	0.155
477	0.181
478	0.255
479	0.142
480	0.074
481	0.07
482	0.065
483	0.053
484	0.071
485	0.05
486	0.041
487	0.056
488	0.07
489	0.042
490	0.045
491	0.041
492	0.039
493	0.04
494	0.041
495	0.042
496	0.045
497	0.033
498	0.035
499	0.032
500	0.033
501	0.038
502	0.031
503	0.042
504	0.034
505	0.035
506	0.046
507	0.042
508	0.037
509	0.03
510	0.023
511	0.023
512	0.03
513	0.023
514	0.03
515	0.053
516	0.035
517	0.051
518	0.102
519	0.065
520	0.1
521	0.169
522	0.037
523	0.011
524	0.007
525	0.004
