Formaldehyde Photolysis Cross Sections (T dependent)		

IUPAC 2003 Recommendation		
http://www.iupac-kinetic.ch.cam.ac.uk		

Taken from:		
Meller and Moortgat  JGR, 105, D6, 7089, 2000		

SIG(LAM,T) = SIG(LAM,298K) + C*(T-298K)		

LAM (nm)	SIG (298K, 10^-21 cm^2)	C (10^-24 cm2 K-1)
226	0.179	0
227	0.169	0
228	0.177	0
229	0.19	0
230	0.205	0
231	0.33	0
232	0.335	0
233	0.262	0
234	0.325	0
235	0.363	0
236	0.539	0
237	0.771	0
238	0.569	0
239	0.682	0
240	0.782	0
241	0.775	0
242	1.23	0
243	1.59	0
244	1.09	0
245	1.31	0
246	1.63	0
247	1.51	0
248	2.34	0
249	3.18	0
250	2.57	0.203
251	2.04	0.177
252	3.37	20.072
253	2.89	0.101
254	3.42	0.137
255	4.5	0.272
256	6.29	0.169
257	4.43	0.88
258	3.07	0.681
259	6.18	0.084
260	6.04	0.447
261	6.6	0.093
262	6.02	0.635
263	10.8	20.813
264	9.47	0.58
265	5.3	1.004
266	5.38	0.431
267	13.6	20.88
268	12.4	20.12
269	9.9	1.116
270	9.6	0.748
271	19.4	21.307
272	14.3	1
273	8.1	1.228
274	6.57	0.871
275	21.5	22.733
276	25.9	22.04
277	15.7	1.933
278	10.3	1.427
279	24.5	22.547
280	23.4	20.68
281	15.6	0.56
282	9.72	0.809
283	7.2	0.005
284	42.7	28.72
285	40.5	21.8
286	20.9	1.587
287	11.5	0.76
288	31.7	24.707
289	32.2	21.213
290	11.7	1.707
291	18.4	21.16
292	7.96	1.155
293	31.1	24.907
294	71.5	210.213
295	40.6	3.827
296	24.8	2.12
297	13.6	1.387
298	42.2	24.933
299	31.7	1.48
300	9.63	4.267
301	16.3	22.573
302	8.52	22.325
303	30.2	23.6
304	72.3	24.827
305	47.4	4.173
306	42.9	0.32
307	17.8	3.187
308	13.8	0.333
309	32.6	23.867
310	17.4	2.36
311	4.61	0.075
312	11.9	21.227
313	9.02	21.439
314	56.5	0.72
315	55.6	2.587
316	25.4	4.76
317	57.9	22.467
318	31.5	3.307
319	9.75	2.532
320	11.9	0.24
321	16	22.187
322	7.21	0.149
323	3.27	0.389
324	8.61	20.456
325	15.4	2.213
326	68.7	25.64
327	43.7	5.44
328	12.2	5.067
329	31.2	23.347
330	38.6	22.173
331	14.1	3.907
332	3.46	1.792
333	2.14	0.429
334	1.59	20.228
335	0.966	20.005
336	1.26	0.325
337	3.83	0.329
338	19.2	1.6
339	55	26.587
340	31.5	5.52
341	9.78	5.863
342	5.04	1.216
343	19.2	22.987
344	12.7	0.187
345	4.36	2.765
346	1.19	0.541
347	0.441	20.281
348	0.757	20.664
349	0.378	20.56
350	0.36	20.728
351	0.894	20.121
352	7.31	0.368
353	22.8	25.32
354	16.5	0.6
355	6.96	2.456
356	1.48	20.388
357	0.344	0
358	0.186	0
359	0.111	0
360	0.087	0
361	0.1	0
362	0.211	0
363	0.141	0
364	0.094	0
365	0.088	0
366	0.085	0
367	0.091	0
368	0.143	0
369	0.297	0
370	0.636	0
371	0.572	0
372	0.197	0
373	0.113	0
374	0.091	0
375	0.087	0
