NO3 = NO2 + O photolysis Quantum Yields 	

H.S Johnston, H.F. Davis, and Y.T. Lee, "NO3 photolysis product channels: Quantum yields from observed energy thesholds", J. Phys. Chem. 100, 4713-4723 (1996)	

wavelength (nm)	(no+o2) qy (298K)	(no2+o) qy (298K)	total qy (298K)
585	0	0.983	0.983
586	0.0152	0.967	0.982
587	0.0391	0.943	0.982
588	0.0971	0.885	0.982
589	0.128	0.854	0.982
590	0.19	0.793	0.983
591	0.22	0.763	0.983
592	0.249	0.734	0.983
593	0.303	0.68	0.983
594	0.328	0.654	0.982
595	0.359	0.608	0.967
596	0.357	0.587	0.944
597	0.318	0.567	0.885
598	0.323	0.531	0.854
599	0.314	0.509	0.823
600	0.291	0.472	0.763
601	0.296	0.438	0.734
602	0.291	0.415	0.706
603	0.283	0.371	0.654
604	0.28	0.351	0.631
605	0.264	0.323	0.587
606	0.271	0.296	0.567
607	0.268	0.28	0.548
608	0.25	0.259	0.509
609	0.248	0.238	0.486
610	0.236	0.226	0.462
611	0.205	0.21	0.415
612	0.2	0.193	0.393
613	0.19	0.181	0.371
614	0.166	0.166	0.332
615	0.166	0.147	0.313
616	0.16	0.137	0.297
617	0.141	0.124	0.265
618	0.143	0.108	0.251
619	0.139	0.0993	0.238
620	0.131	0.0897	0.221
621	0.127	0.0769	0.204
622	0.122	0.0704	0.192
623	0.117	0.0643	0.181
624	0.106	0.0552	0.161
625	0.0985	0.0487	0.147
626	0.0923	0.0442	0.137
627	0.0848	0.0393	0.124
628	0.0739	0.0339	0.108
629	0.0699	0.0294	0.099
630	0.0649	0.0264	0.091
631	0.0578	0.0236	0.081
632	0.0508	0.0195	0.07
633	0.0466	0.0177	0.064
634	0.0426	0.0161	0.059
635	0.0373	0.0146	0.052
636	0.0323	0.0119	0.044
637	0.0294	0.0107	0.04
638	0.0266	0.00957	0.036
639	0.0235	0.00856	0.032
640	0.0203	0.00715	0.027
