nitrooxy-acetone (NOA) photolysis quantum yields

estimated by analogy to the photolysis of ethyl nitrate and acetone				
				
phi1 (CH3C(O)CH2O + NO2)
phi2 (CH3CO + HCHO + NO2)
phi3 (total)

wavelength (nm)	phi1	phi2	phi3
245	0.77	0.17	0.94
250	0.77	0.17	0.94
255	0.77	0.17	0.94
260	0.74	0.2	0.94
265	0.66	0.26	0.92
270	0.55	0.35	0.9
275	0.49	0.36	0.85
280	0.44	0.36	0.8
285	0.38	0.37	0.75
290	0.31	0.34	0.65
295	0.28	0.28	0.56
300	0.25	0.22	0.47
305	0.22	0.17	0.39
310	0.2	0.12	0.32
315	0.18	0.082	0.262
320	0.15	0.043	0.193
325	0.13	0.034	0.164
330	0.1	0.025	0.125
335	0.11	0.027	0.137
340	0.11	0.029	0.139
345	0.1	0.025	0.125
350	0.1	0.025	0.125
