"Ozone absorption cross section from Molina and Molina, JGR v.91, p14501 (1986)."				
c.s.=Aexp(B/T)				

wavelength	A	B		
290	1.64E-18	-41.1962		
291	1.49E-18	-46.6695		
292	1.35E-18	-57.6878		
293	1.21E-18	-58.7312		
294	1.05E-18	-56.5597		
295	9.35E-19	-58.2783		
296	8.53E-19	-72.0411		
297	7.64E-19	-76.9627		
298	6.71E-19	-80.486		
299	5.78E-19	-74.5513		
300	5.24E-19	-85.5084		
301	4.68E-19	-91.6449		
302	4.10E-19	-90.0843		
303	3.75E-19	-105.5495		
304	3.24E-19	-97.2401		
305	2.94E-19	-113.4295		
306	2.59E-19	-110.7283		
307	2.34E-19	-122.4289		
308	2.08E-19	-129.9037		
309	1.92E-19	-138.4849		
310	1.65E-19	-145.8882		
311	1.47E-19	-138.6186		
312	1.31E-19	-148.6756		
313	1.17E-19	-156.3692		
314	1.04E-19	-154.5119		
315	9.67E-20	-181.3428		
316	8.62E-20	-175.9526		
317	7.94E-20	-195.2194		
318	7.04E-20	-197.2804		
319	6.78E-20	-250.1334		
320	5.05E-20	-151.8917		
321	6.20E-20	-320.3723		
322	4.09E-20	-181.1788		
323	4.49E-20	-258.9558		
324	4.92E-20	-398.6791		
325	2.87E-20	-182.1262		
326	3.49E-20	-335.2122		
327	3.02E-20	-370.3534		
328	2.14E-20	-197.564		
329	3.75E-20	-509.3324		
330	2.31E-20	-427.8707		
331	1.48E-20	-200.8903		
332	2.30E-20	-482.6392		
333	1.42E-20	-403.4978		
334	1.11E-20	-271.3274		
335	1.23E-20	-492.5775		
336	1.53E-20	-595.1423		
337	7.56E-21	-268.0116		
338	7.82E-21	-378.5474		
339	1.88E-20	-774.025		
340	6.98E-21	-395.8749		
341	7.80E-21	-556.7911		
342	1.58E-20	-907.1861		
343	1.61E-20	-865.5987		
344	2.41E-21	-216.4719		
345	3.49E-21	-462.7025		
346	1.90E-20	-1023.1886		
347	3.42E-21	-589.5451		
348	3.82E-21	-680.7151		
349	1.52E-20	-1152.9697		
