Y. Matsumi, F.J. Comes, G. Hancock, A. Hofzumahaus, A.J Hynes, M. Kawasaki, A.R. Ravishankara							
J. Geophys. Res., 107(D3), 4024, doi:10.1029/2001JD000510, 2002

Recommended by IUPAC 2003:
http://www.iupac-kinetic.ch.cam.ac.uk							

wavelength	qyo3p (298)
290	0.1
291	0.1
292	0.1
293	0.1
294	0.1
295	0.1
296	0.1
297	0.1
298	0.1
299	0.1
300	0.1
301	0.1
302	0.1
303	0.1
304	0.1
305	0.1
306	0.116
307	0.138
308	0.207
309	0.329
310	0.477
311	0.606
312	0.69
313	0.735
314	0.754
315	0.761
316	0.767
317	0.778
318	0.794
319	0.813
320	0.834
321	0.854
322	0.872
323	0.887
324	0.899
325	0.908
326	0.914
327	0.918
328	0.92
329	0.92
330	0.92
331	0.92
332	0.92
333	0.92
334	0.92
335	0.92
336	0.92
337	0.92
338	0.92
339	0.92
340	0.92
341	0.92
342	0.92
343	0.92
344	0.92
345	0.92
346	0.92
347	0.92
348	0.92
349	0.92
