CH3CHO 298 K photolysis cross sections

IUPAC 2003 Recommendation
http://www.iupac-kinetic.ch.cam.ac.uk
 
R. D. Martinez, A. A. Buitrago, N. W. Howell, C. H. Hearn, and J. A. Joens, Atmos. Env. 26A, 785 (1992)

wavelength (nm)	sigma (cm2)
202	5.600E-22
206	5.300E-22
210	4.900E-22
214	4.800E-22
218	5.200E-22
222	6.500E-22
226	9.600E-22
230	1.510E-21
234	2.410E-21
238	3.750E-21
242	5.640E-21
246	8.180E-21
250	1.128E-20
254	1.524E-20
258	1.994E-20
262	2.440E-20
266	3.050E-20
270	3.420E-20
274	4.030E-20
278	4.190E-20
280	4.500E-20
281	4.690E-20
282	4.720E-20
283	4.750E-20
284	4.610E-20
285	4.490E-20
286	4.440E-20
287	4.590E-20
288	4.720E-20
289	4.770E-20
290	4.890E-20
291	4.780E-20
292	4.680E-20
293	4.530E-20
294	4.330E-20
295	4.270E-20
296	4.240E-20
297	4.380E-20
298	4.410E-20
299	4.260E-20
300	4.160E-20
301	3.990E-20
302	3.860E-20
303	3.720E-20
304	3.480E-20
305	3.420E-20
306	3.420E-20
307	3.360E-20
308	3.330E-20
309	3.140E-20
310	2.930E-20
311	2.760E-20
312	2.530E-20
313	2.470E-20
314	2.440E-20
315	2.200E-20
316	2.040E-20
317	2.070E-20
318	1.979E-20
319	1.874E-20
320	1.723E-20
321	1.484E-20
322	1.402E-20
323	1.244E-20
324	1.091E-20
325	1.136E-20
326	1.074E-20
327	8.580E-21
328	7.470E-21
329	7.070E-21
330	6.880E-21
331	5.880E-21
332	5.300E-21
333	3.980E-21
334	3.630E-21
335	3.500E-21
336	2.380E-21
337	2.220E-21
338	2.050E-21
339	2.190E-21
340	1.500E-21
341	7.400E-22
342	4.200E-22
343	3.100E-22
344	2.600E-22
345	2.100E-22
346	1.900E-22
347	1.500E-22
348	1.600E-22
349	1.000E-22
350	8.000E-23
351	7.000E-23
352	6.000E-23
353	5.000E-23
354	5.000E-23
355	4.000E-23
356	5.000E-23
357	3.000E-23
358	4.000E-23
359	2.000E-23
360	3.000E-23
361	2.000E-23
362	1.000E-23
363	0.000E+00
364	0.000E+00
365	0.000E+00
