Acetone (CH3COCH3) temerpature dependent absorption cross sections 												
												
IUPAC 2005 Recommendation												
http://www.iupac-kinetic.ch.cam.ac.uk												

based on:												
Gierczak, T., Burkholder, J. B., Bauerle, S. and Ravishankara, A. R., Chem. Phys. 231, 229, 1998.												

T dependent parameterisation from expression derived by Burkholder 
(as cited in the NASA Evaluation No 15, 2005), obtained by using a cubic fit to the data of Gierczak et al. (1998)												

SIG(LAM, T) = SIG(LAM, 298K)*[1 + A(LAM)*T + (B(LAM)*(T**2)) + (C(LAM)*(T**3))]

LAM (nm)	sig (298) (cm2)	A (K-1)	B (K-2)	C (K-3)
215	1.67E-21	-0.01046	0.00008346	-1.643E-07
216	1.8E-21	-0.009192	0.00007357	-1.451E-07
217	1.96E-21	-0.006233	0.00005039	-1.001E-07
218	2.12E-21	-0.00319	0.00002651	-5.359E-08
219	2.28E-21	-0.001002	0.000009314	-2.003E-08
220	2.46E-21	0.0004104	-0.000001807	1.679E-09
221	2.7E-21	0.001567	-0.0000109	1.936E-08
222	2.94E-21	0.002962	-0.00002183	4.058E-08
223	3.18E-21	0.004839	-0.00003651	6.909E-08
224	3.46E-21	0.00694	-0.00005293	1.009E-07
225	3.8E-21	0.008598	-0.00006588	0.000000126
226	4.19E-21	0.00938	-0.000072	1.379E-07
227	4.56E-21	0.009551	-0.00007336	1.406E-07
228	4.92E-21	0.009705	-0.00007462	1.431E-07
229	5.35E-21	0.01008	-0.00007761	1.489E-07
230	5.84E-21	0.01041	-0.00008023	1.541E-07
231	6.37E-21	0.01039	-0.00008002	1.536E-07
232	6.93E-21	0.01001	-0.00007707	1.479E-07
233	7.5E-21	0.009534	-0.00007332	1.406E-07
234	8.15E-21	0.009138	-0.00007022	1.346E-07
235	8.85E-21	0.008851	-0.00006799	1.302E-07
236	9.56E-21	0.008638	-0.00006634	0.000000127
237	1.03E-20	0.008471	-0.00006504	1.245E-07
238	1.11E-20	0.008318	-0.00006385	1.222E-07
239	1.21E-20	0.008125	-0.00006235	1.193E-07
240	1.3E-20	0.007861	-0.00006031	1.153E-07
241	1.4E-20	0.007554	-0.00005793	1.107E-07
242	1.5E-20	0.007268	-0.00005571	1.064E-07
243	1.6E-20	0.007035	-0.0000539	1.029E-07
244	1.72E-20	0.006838	-0.00005237	9.994E-08
245	1.83E-20	0.006649	-0.00005093	9.718E-08
246	1.95E-20	0.006472	-0.0000496	9.464E-08
247	2.07E-20	0.006326	-0.0000485	9.256E-08
248	2.2E-20	0.00621	-0.00004763	9.091E-08
249	2.33E-20	0.006099	-0.0000468	8.936E-08
250	2.47E-20	0.005972	-0.00004587	8.763E-08
251	2.6E-20	0.005832	-0.00004486	8.576E-08
252	2.74E-20	0.005697	-0.00004389	8.399E-08
253	2.87E-20	0.005581	-0.00004306	8.249E-08
254	3.01E-20	0.005483	-0.00004235	8.12E-08
255	3.15E-20	0.005385	-0.00004164	7.989E-08
256	3.3E-20	0.005261	-0.00004075	7.825E-08
257	3.44E-20	0.005101	-0.00003961	7.62E-08
258	3.57E-20	0.004932	-0.00003843	7.41E-08
259	3.69E-20	0.004802	-0.00003756	7.262E-08
260	3.81E-20	0.004746	-0.00003723	7.215E-08
261	3.94E-20	0.004744	-0.0000373	7.239E-08
262	4.07E-20	0.004734	-0.00003729	7.246E-08
263	4.2E-20	0.004651	-0.00003674	7.155E-08
264	4.32E-20	0.004482	-0.00003559	6.956E-08
265	4.41E-20	0.004271	-0.00003416	6.712E-08
266	4.49E-20	0.004087	-0.00003296	6.513E-08
267	4.56E-20	0.003983	-0.00003234	6.42E-08
268	4.64E-20	0.003969	-0.00003235	6.44E-08
269	4.72E-20	0.004009	-0.00003273	6.524E-08
270	4.79E-20	0.004025	-0.00003294	6.577E-08
271	4.87E-20	0.003935	-0.0000324	6.494E-08
272	4.91E-20	0.003704	-0.00003085	6.231E-08
273	4.94E-20	0.003378	-0.00002861	5.845E-08
274	4.94E-20	0.003061	-0.00002645	5.473E-08
275	4.94E-20	0.002854	-0.00002508	5.243E-08
276	4.93E-20	0.00279	-0.00002474	5.201E-08
277	4.92E-20	0.002816	-0.00002505	5.276E-08
278	4.94E-20	0.00282	-0.00002518	5.316E-08
279	4.92E-20	0.002692	-0.00002433	5.175E-08
280	4.91E-20	0.002389	-0.00002222	4.803E-08
281	4.86E-20	0.001963	-0.00001922	4.272E-08
282	4.79E-20	0.001517	-0.00001612	3.726E-08
283	4.71E-20	0.001137	-0.0000135	3.272E-08
284	4.62E-20	0.000853	-0.00001158	2.943E-08
285	4.54E-20	0.0006518	-0.00001023	2.714E-08
286	4.44E-20	0.0004907	-0.000009154	2.531E-08
287	4.36E-20	0.000319	-0.000007992	2.332E-08
288	4.28E-20	0.0001109	-0.000006586	2.092E-08
289	4.15E-20	-0.000123	-0.000005036	1.833E-08
290	4.06E-20	-0.0003698	-0.000003426	1.568E-08
291	3.95E-20	-0.000643	-0.000001615	1.265E-08
292	3.82E-20	-0.0009625	5.796E-07	8.847E-09
293	3.71E-20	-0.001316	0.00000306	4.472E-09
294	3.57E-20	-0.00165	0.00000535	4.77E-10
295	3.42E-20	-0.001905	0.00000699	-2.168E-09
296	3.26E-20	-0.002084	0.00000796	-3.43E-09
297	3.11E-20	-0.002234	0.00000867	-4.086E-09
298	2.98E-20	-0.002391	0.00000942	-4.824E-09
299	2.82E-20	-0.00259	0.00001055	-6.387E-09
300	2.67E-20	-0.002915	0.00001277	-1.02E-08
301	2.58E-20	-0.003421	0.00001649	-1.709E-08
302	2.45E-20	-0.004008	0.00002091	-2.543E-08
303	2.3E-20	-0.004508	0.00002465	-3.248E-08
304	2.18E-20	-0.004858	0.00002715	-3.699E-08
