HONO cross sections    Note:  QY (HONO = NO + OH) is unity (IUPAC 2003)

based on:
A. Bongartz, J. Kames, F. Welter, and U. Schurath, J. Phys. Chem. 95, 1076 (1991)
A. Bongartz, J. Kames, U. Schurath, Ch. George, Ph. Mirabel, and J. L. Ponche, J. Atmos. Chem. 18, 149 (1994)

1991 data corrected as recommended in 1994 paper (reduced by 14.5 %)

Same as IUPAC 2003 Recommendation
http://www.iupac-kinetic.ch.cam.ac.uk

lambda (nm)	sigma (298) (cm2)
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	8.55E-23
301	8.55E-22
302	8.55E-23
303	4.275E-21
304	6.84E-21
305	1.282E-20
306	7.695E-21
307	3.42E-21
308	9.405E-21
309	1.625E-20
310	1.026E-20
311	1.453E-20
312	2.394E-20
313	1.966E-20
314	3.078E-20
315	2.479E-20
316	1.282E-20
317	2.736E-20
318	4.874E-20
319	2.993E-20
320	4.104E-20
321	6.84E-20
322	4.104E-20
323	4.361E-20
324	6.242E-20
325	4.104E-20
326	2.394E-20
327	5.472E-20
328	1E-19
329	5.13E-20
330	9.491E-20
331	1.556E-19
332	7.439E-20
333	6.498E-20
334	8.208E-20
335	8.379E-20
336	6.242E-20
337	4.446E-20
338	8.294E-20
339	1.625E-19
340	8.55E-20
341	1.402E-19
342	3.36E-19
343	1.265E-19
344	8.208E-20
345	9.32E-20
346	1.06E-19
347	8.721E-20
348	7.61E-20
349	6.669E-20
350	9.32E-20
351	1.838E-19
352	1.325E-19
353	1.59E-19
354	5.113E-19
355	3.078E-19
356	1.197E-19
357	9.918E-20
358	1E-19
359	8.807E-20
360	7.695E-20
361	6.926E-20
362	6.755E-20
363	8.208E-20
364	1.291E-19
365	1.454E-19
366	1.53E-19
367	2.556E-19
368	4.48E-19
369	3.317E-19
370	1.53E-19
371	9.576E-20
372	8.721E-20
373	6.498E-20
374	5.643E-20
375	4.532E-20
376	4.532E-20
377	4.275E-20
378	4.959E-20
379	6.84E-20
380	8.123E-20
381	9.662E-20
382	1.359E-19
383	1.796E-19
384	2.069E-19
385	1.736E-19
386	1.146E-19
387	7.695E-20
388	4.788E-20
389	2.907E-20
390	2.309E-20
391	1.71E-20
392	1.197E-20
393	9.405E-21
394	5.13E-21
395	8.55E-21
396	3.42E-21
397	4.275E-21
398	1.112E-20
399	8.55E-22
400	0
