Methyl vinyl ketone (CH3C(O)CH=CH2) quantum yields

IUPAC 2005 Recommendation
http://www.iupac-kinetic.ch.cam.ac.uk

T. Gierczak, J.B. Burkholder, R.K. Talukdar, A. Mellouki, S.B. Barone, and A.R. Ravishankara
Atmospheric fate of methyl vinyl ketone and methacrolein, J. Photochem. Photobiol. A: Chem. 110, 1-10 (1997).

phi1 = CH3CH=CH2 + CO
phi2 = CH3CO + CH=CH2
phi3 = total_qy				

phi1 = phi3/2
phi2 = phi3/2

wavelength (nm)	total_qy	phi1	phi2
250	0.863373647	0.431686824	0.431686824
251	0.817170334	0.408585167	0.408585167
252	0.773439585	0.386719792	0.386719792
253	0.73204908	0.36602454	0.36602454
254	0.692873582	0.346436791	0.346436791
255	0.655794554	0.327897277	0.327897277
256	0.620699806	0.310349903	0.310349903
257	0.587483148	0.293741574	0.293741574
258	0.556044074	0.278022037	0.278022037
259	0.526287457	0.263143729	0.263143729
260	0.498123262	0.249061631	0.249061631
261	0.471466269	0.235733135	0.235733135
262	0.446235822	0.223117911	0.223117911
263	0.422355578	0.211177789	0.211177789
264	0.399753281	0.199876641	0.199876641
265	0.378360544	0.189180272	0.189180272
266	0.358112635	0.179056318	0.179056318
267	0.338948291	0.169474145	0.169474145
268	0.320809523	0.160404761	0.160404761
269	0.303641449	0.151820724	0.151820724
270	0.287392122	0.143696061	0.143696061
271	0.272012375	0.136006187	0.136006187
272	0.257455673	0.128727836	0.128727836
273	0.24367797	0.121838985	0.121838985
274	0.23063758	0.11531879	0.11531879
275	0.218295044	0.109147522	0.109147522
276	0.206613017	0.103306509	0.103306509
277	0.195556152	0.097778076	0.097778076
278	0.185090993	0.092545497	0.092545497
279	0.175185876	0.087592938	0.087592938
280	0.16581083	0.082905415	0.082905415
281	0.156937488	0.078468744	0.078468744
282	0.148539002	0.074269501	0.074269501
283	0.140589959	0.070294979	0.070294979
284	0.133066308	0.066533154	0.066533154
285	0.125945284	0.062972642	0.062972642
286	0.119205341	0.05960267	0.05960267
287	0.112826085	0.056413042	0.056413042
288	0.106788214	0.053394107	0.053394107
289	0.101073458	0.050536729	0.050536729
290	0.095664527	0.047832263	0.047832263
291	0.090545054	0.045272527	0.045272527
292	0.085699549	0.042849774	0.042849774
293	0.08111335	0.040556675	0.040556675
294	0.076772581	0.038386291	0.038386291
295	0.072664108	0.036332054	0.036332054
296	0.068775499	0.034387749	0.034387749
297	0.065094988	0.032547494	0.032547494
298	0.06161144	0.03080572	0.03080572
299	0.058314312	0.029157156	0.029157156
300	0.055193631	0.027596815	0.027596815
301	0.052239952	0.026119976	0.026119976
302	0.049444338	0.024722169	0.024722169
303	0.046798332	0.023399166	0.023399166
304	0.044293926	0.022146963	0.022146963
305	0.041923543	0.020961772	0.020961772
306	0.039680011	0.019840006	0.019840006
307	0.037556541	0.018778271	0.018778271
308	0.035546708	0.017773354	0.017773354
309	0.033644432	0.016822216	0.016822216
310	0.031843955	0.015921977	0.015921977
311	0.03013983	0.015069915	0.015069915
312	0.028526902	0.014263451	0.014263451
313	0.027000289	0.013500144	0.013500144
314	0.025555372	0.012777686	0.012777686
315	0.02418778	0.01209389	0.01209389
316	0.022893375	0.011446687	0.011446687
317	0.021668239	0.01083412	0.01083412
318	0.020508667	0.010254333	0.010254333
319	0.019411148	0.009705574	0.009705574
320	0.018372364	0.009186182	0.009186182
321	0.017389169	0.008694585	0.008694585
322	0.016458591	0.008229295	0.008229295
323	0.015577811	0.007788906	0.007788906
324	0.014744167	0.007372084	0.007372084
325	0.013955135	0.006977568	0.006977568
326	0.013208328	0.006604164	0.006604164
327	0.012501487	0.006250743	0.006250743
328	0.011832471	0.005916236	0.005916236
329	0.011199258	0.005599629	0.005599629
330	0.010599932	0.005299966	0.005299966
331	0.010032678	0.005016339	0.005016339
332	0.009495781	0.00474789	0.00474789
333	0.008987615	0.004493808	0.004493808
334	0.008506644	0.004253322	0.004253322
335	0.008051413	0.004025706	0.004025706
336	0.007620542	0.003810271	0.003810271
337	0.00721273	0.003606365	0.003606365
338	0.006826742	0.003413371	0.003413371
339	0.00646141	0.003230705	0.003230705
340	0.006115629	0.003057814	0.003057814
341	0.005788352	0.002894176	0.002894176
342	0.005478589	0.002739294	0.002739294
343	0.005185403	0.002592701	0.002592701
344	0.004907907	0.002453953	0.002453953
345	0.004645261	0.002322631	0.002322631
346	0.004396671	0.002198335	0.002198335
347	0.004161383	0.002080692	0.002080692
348	0.003938688	0.001969344	0.001969344
349	0.003727909	0.001863955	0.001863955
350	0.003528411	0.001764205	0.001764205
351	0.003339588	0.001669794	0.001669794
352	0.003160871	0.001580435	0.001580435
353	0.002991717	0.001495859	0.001495859
354	0.002831616	0.001415808	0.001415808
355	0.002680082	0.001340041	0.001340041
356	0.002536658	0.001268329	0.001268329
357	0.002400909	0.001200455	0.001200455
358	0.002272425	0.001136213	0.001136213
359	0.002150817	0.001075408	0.001075408
360	0.002035716	0.001017858	0.001017858
361	0.001926775	0.000963387	0.000963387
362	0.001823664	0.000911832	0.000911832
363	0.001726071	0.000863035	0.000863035
364	0.0016337	0.00081685	0.00081685
365	0.001546273	0.000773137	0.000773137
366	0.001463524	0.000731762	0.000731762
367	0.001385204	0.000692602	0.000692602
368	0.001311075	0.000655538	0.000655538
369	0.001240913	0.000620457	0.000620457
370	0.001174506	0.000587253	0.000587253
371	0.001111652	0.000555826	0.000555826
372	0.001052162	0.000526081	0.000526081
373	0.000995856	0.000497928	0.000497928
374	0.000942563	0.000471282	0.000471282
375	0.000892122	0.000446061	0.000446061
376	0.00084438	0.00042219	0.00042219
377	0.000799193	0.000399597	0.000399597
378	0.000756425	0.000378212	0.000378212
379	0.000715945	0.000357972	0.000357972
380	0.000677631	0.000338815	0.000338815
381	0.000641368	0.000320684	0.000320684
382	0.000607045	0.000303522	0.000303522
383	0.000574559	0.00028728	0.00028728
384	0.000543812	0.000271906	0.000271906
385	0.00051471	0.000257355	0.000257355
386	0.000487165	0.000243582	0.000243582
387	0.000461094	0.000230547	0.000230547
388	0.000436419	0.00021821	0.00021821
389	0.000413064	0.000206532	0.000206532
390	0.000390959	0.00019548	0.00019548
391	0.000370037	0.000185018	0.000185018
392	0.000350234	0.000175117	0.000175117
393	0.000331492	0.000165746	0.000165746
394	0.000313752	0.000156876	0.000156876
395	0.000296962	0.000148481	0.000148481
