NO3 Cross sections	

IUPAC 2003 Recommendation
http://www.iupac-kinetic.ch.cam.ac.uk	

Based on:	

S. P. Sander, J. Phys. Chem. 90, 4135 (1986)	


wavelength	Cross section (1E-19 cm^2) at 298 K
400	0
401	0
402	0
403	0.2
404	0
405	0.3
406	0.2
407	0.1
408	0.3
409	0
410	0.1
411	0.2
412	0.5
413	0.5
414	0.2
415	0.6
416	0.6
417	0.7
418	0.5
419	0.8
420	0.8
421	0.8
422	0.9
423	1.1
424	0.9
425	0.7
426	1.4
427	1.4
428	1.2
429	1.1
430	1.7
431	1.3
432	1.5
433	1.8
434	1.8
435	1.6
436	1.5
437	1.8
438	2.1
439	2
440	1.9
441	1.8
442	2.1
443	1.8
444	1.9
445	2
446	2.4
447	2.9
448	2.4
449	2.8
450	2.9
451	3
452	3.3
453	3.1
454	3.6
455	3.6
456	3.6
457	4
458	3.7
459	4.2
460	4
461	3.9
462	4
463	4.1
464	4.8
465	5.1
466	5.4
467	5.7
468	5.6
469	5.8
470	5.9
471	6.2
472	6.4
473	6.2
474	6.2
475	6.8
476	7.8
477	7.7
478	7.3
479	7.3
480	7
481	7.1
482	7.1
483	7.2
484	7.7
485	8.2
486	9.1
487	9.2
488	9.5
489	9.6
490	10.3
491	9.9
492	9.9
493	10.1
494	10.1
495	10.6
496	12.1
497	12.2
498	12
499	11.7
500	11.3
501	11.1
502	11.1
503	11.1
504	12.6
505	12.8
506	13.4
507	12.8
508	12.7
509	13.5
510	15.1
511	17.3
512	17.7
513	16
514	15.8
515	15.8
516	15.6
517	14.9
518	14.4
519	15.4
520	16.8
521	18.3
522	19.3
523	17.7
524	16.4
525	15.8
526	16.3
527	18.1
528	21
529	23.9
530	22.3
531	20.9
532	20.2
533	19.5
534	20.4
535	23
536	25.7
537	25.8
538	23.4
539	20.4
540	21
541	20.4
542	18.8
543	16.8
544	17
545	19.6
546	24.2
547	29.1
548	29.8
549	27.1
550	24.8
551	24.3
552	24.7
553	25.3
554	27.8
555	31.1
556	32.6
557	32.9
558	35.1
559	37.2
560	33.2
561	29.8
562	29
563	28
564	27.2
565	27.3
566	28.5
567	28.1
568	28.5
569	28.9
570	27.9
571	27.6
572	27.4
573	27.8
574	28.6
575	30.8
576	32.7
577	33.8
578	33.1
579	32.4
580	33.4
581	35.5
582	32.8
583	29.3
584	28.2
585	28.9
586	33.2
587	41.6
588	50.4
589	61.3
590	59.6
591	54.4
592	51.1
593	45.8
594	41.9
595	42.9
596	46.2
597	43.6
598	36.7
599	31
600	27.6
601	28.6
602	33.2
603	38
604	43.7
605	43.6
606	33.2
607	24
608	18.5
609	17.1
610	17.7
611	19.1
612	22.3
613	26.3
614	25.5
615	22.6
616	20.9
617	21.1
618	23.9
619	25.6
620	32.7
621	52.4
622	101.8
623	147.3
624	120.5
625	83.8
626	73
627	75.3
628	73.7
629	69.8
630	67.6
631	48.4
632	32.7
633	21.7
634	16.4
635	14.4
636	16.9
637	20.7
638	20.3
639	15.8
640	12.3
641	10
642	9.2
643	9.7
644	9.5
645	8.6
646	7.5
647	7
648	6.2
649	5.4
650	5
651	5.5
652	6.1
653	7.1
654	8.2
655	9.8
656	13.3
657	17.1
658	24.2
659	40.7
660	74.5
661	144.8
662	210
663	174.4
664	112.9
665	74.1
666	49.6
667	30.4
668	19
669	12.5
670	9.5
671	7.9
672	7.6
673	6.4
674	5.2
675	4.8
676	4.9
677	5.9
678	7.5
679	7.8
680	6.9
681	5.3
682	4
683	3
684	2.6
685	1.8
686	1.6
687	1.2
688	1.2
689	1.2
690	1
