NO3 = NO2 + O photolysis Quantum Yields 	

H.S Johnston, H.F. Davis, and Y.T. Lee, "NO3 photolysis product channels: Quantum yields from observed energy thesholds", J. Phys. Chem. 100, 4713-4723 (1996)	

wavelength (nm)	(no2+o) qy (298K)
585	0.983
586	0.967
587	0.943
588	0.885
589	0.854
590	0.793
591	0.763
592	0.734
593	0.68
594	0.654
595	0.608
596	0.587
597	0.567
598	0.531
599	0.509
600	0.472
601	0.438
602	0.415
603	0.371
604	0.351
605	0.323
606	0.296
607	0.28
608	0.259
609	0.238
610	0.226
611	0.21
612	0.193
613	0.181
614	0.166
615	0.147
616	0.137
617	0.124
618	0.108
619	0.0993
620	0.0897
621	0.0769
622	0.0704
623	0.0643
624	0.0552
625	0.0487
626	0.0442
627	0.0393
628	0.0339
629	0.0294
630	0.0264
631	0.0236
632	0.0195
633	0.0177
634	0.0161
635	0.0146
636	0.0119
637	0.0107
638	0.00957
639	0.00856
640	0.00715
