NO3 = NO + O2 photolysis Quantum Yields	

H.S Johnston, H.F. Davis, and Y.T. Lee, "NO3 photolysis product channels: Quantum yields from observed energy thesholds", J. Phys. Chem. 100, 4713-4723 (1996)	


wavelength (nm)	(no+o2) qy (298K)
585	0
586	0.0152
587	0.0391
588	0.0971
589	0.128
590	0.19
591	0.22
592	0.249
593	0.303
594	0.328
595	0.359
596	0.357
597	0.318
598	0.323
599	0.314
600	0.291
601	0.296
602	0.291
603	0.283
604	0.28
605	0.264
606	0.271
607	0.268
608	0.25
609	0.248
610	0.236
611	0.205
612	0.2
613	0.19
614	0.166
615	0.166
616	0.16
617	0.141
618	0.143
619	0.139
620	0.131
621	0.127
622	0.122
623	0.117
624	0.106
625	0.0985
626	0.0923
627	0.0848
628	0.0739
629	0.0699
630	0.0649
631	0.0578
632	0.0508
633	0.0466
634	0.0426
635	0.0373
636	0.0323
637	0.0294
638	0.0266
639	0.0235
640	0.0203
