#        cation   cation  anion    anion               molar
# group  group    stoich  group    stoich  density     mass      name

 0        204       2      261       1      1769     132.1400    NH42SO4
 1        204       1      245       1      1725      80.0434    NH4NO3
 2        204       1      242       1      1527      62.4910    NH4Cl

 3        202       2      261       1      2680     142.0420    Na2SO4
 4        202       1      245       1      2261      84.9947    NaNO3
 5        202       1      242       1      2165      58.4430    NaCl

 6        223       1      261       1      2660     120.3680    MgSO4
 7        223       1      245       2      2300     148.3000    Mg(NO3)2
 8        223       1      242       2      2320      95.2110    MgCl2

 9        203       2      261       1      2662     174.2590    K2SO4
10        203       1      245       1      2109     101.1032    KNO3
11        203       1      242       1      1984      74.5510    KCl

12        221       1      261       1      2960     136.1410    CaSO4
13        221       1      245       2      2504     164.0880    Ca(NO3)2
14        221       1      242       2      2150     110.9840    Ca(Cl)2

15        205       2      261       1      1840      98.0780    H2SO4
16        205       1      245       1      1510      63.0128    HNO3
17        205       1      242       1      1490      36.4610    HCl
