# group      A           B
 1         2.62550    -1986.56
 2         0.06298    -2821.46
 3        -0.00293     1040.69
 4         0.71114   -15841.13
 5         0.19747    -7163.72
 6         0.32257    -5208.53
 7         0.29030   -15011.33
 8         0.95537   -16699.73
 9         0.98567   -23671.00
10         0.78348   -18583.48
11         0.81498   -18071.50
12         0.18704    -2509.37
12lin      0.18704    -2509.37
12CL       0.18704    -2509.37
12HB       0.18704    -2509.37
13        -0.18596       14.21
14        -0.28012     4201.34
15        -0.34191     2961.95
16         0.26830     1602.62
17         0.11716      939.71
18        -0.30373     3769.87
19        -0.04143      800.12
20         0.46023     1817.60
