#     stein-brown  joback      joback    joback      joback
# grp    bp          bp        temp      pressure    vol
  1     21.98       23.58      0.0141    -0.0012     65
  2     24.22       22.88      0.0189     0.0000     56
  3     26.44       27.15      0.0100     0.0025     48
  4     11.86       21.74      0.0164     0.0020     41
  5     21.66       21.78      0.0122     0.0004     38
  6      4.50       18.25      0.0067     0.0043     27
  7     11.12       21.32      0.0042     0.0061     27
  8     16.44       18.18      0.0113    -0.0028     56
  9     27.95       24.96      0.0129    -0.0006     46
 10     28.03       26.73      0.0082     0.0011     41
 11     23.58       24.14      0.0117     0.0011     38
 12     28.19       31.01      0.0143     0.0008     32
 13     28.53       26.73      0.0082     0.0011     41
 14     30.76       31.01      0.0143     0.0008     32
 16     21.71        9.20      0.0027    -0.0008     46
 17     32.99       27.38      0.0020     0.0016     37
 19     88.46       92.88      0.0741     0.0112     28
 20     80.63       92.88      0.0741     0.0112     28
 21     69.32       92.88      0.0741     0.0112     28
 22     70.48       76.34      0.0240     0.0184    -25
 23     25.16       22.42      0.0168     0.0015     18
 24     32.98       31.22      0.0098     0.0048     13
 25    127.96      127.96      0.0909     0.0127     46
 26     83.38       72.24      0.0379     0.0030     82
 27     71.53       76.75      0.0380     0.0031     62
 28     94.76       94.97      0.0284     0.0028     55
 29     78.85       81.10      0.0481     0.0005     82
 30    172.49       81.10      0.0481     0.0005     82
 31    169.83      169.09      0.0791     0.0077     89
 32    230.39      149.98      0.0623     0.0140    100
 33    225.09      126.92      0.0675     0.0108     97
 34    246.13      147.79      0.0414     0.0142     84
 35    142.77       88.49      0.0549     0.0105     71
 36    180.22      106.71      0.0453     0.0102     64
 37     61.98       73.23      0.0243     0.0109     38
 38     86.63       73.23      0.0243     0.0109     38
 39     45.28       50.17      0.0295     0.0077     35
 40     65.50       52.82      0.0130     0.0114     29
 41     25.78       11.74      0.0169     0.0074      9
 42     32.77       11.74      0.0169     0.0074      9
 54    113.99      152.54      0.0437     0.0064     91
 55    119.16      125.66      0.0496    -0.0101     91
 56     95.43       96.30      0.0496    -0.0101     91
 57      0.13       -0.03      0.0111    -0.0057     27
 58     -7.81       -0.03      0.0111    -0.0057     27
 60     62.63       38.13      0.0105    -0.0049     58
 61     49.41       38.13      0.0105    -0.0049     58
 62     36.23       38.13      0.0105    -0.0049     58
 63     36.79       38.13      0.0105    -0.0049     58
 64     76.28       66.86      0.0133     0.0057     71
 65     61.85       66.86      0.0133     0.0057     71
 66    111.67       93.84      0.0068    -0.0034     97
 67     99.93       93.84      0.0068    -0.0034     97
101    112.10      112.10      0.0605     0.0079    109
102    106.27       92.88      0.0741     0.0112     28
103     34.08       38.13      0.0105    -0.0049     58
104     28.71       28.71      0.0196     0.0096     26
105    147.17      147.17      0.0959     0.0092    107
106    155.29      155.29      0.1086     0.0084    191
