# group      bp         vp         temp        pressure      volume
  1       177.3066   0.0133063   0.0418682    8.1620e-04     28.7855
  2       251.8338   0.0918000   0.0331371    5.5262e-04     28.8811
  3       157.9527   0.0501939  -0.0010710    4.1660e-04     26.7237
  4       239.4531   0.0546564   0.0400977    5.2623e-04     32.0493
  5       240.6785   0.0457437   0.0302069    2.3009e-04     32.1108
  6       249.5809  -0.0317531  -0.0038778   -2.9925e-04     28.0534
  7       266.8769   0.0378487   0.0528003    3.4310e-04     33.7577
  8       201.0115   0.0961386   0.0094422    2.3665e-04     28.8792
  9       239.4957   0.0222573   0.0212898    3.4027e-04     24.8517
 10       222.1163   0.0328162   0.0263513    3.6162e-04     30.9323
 11       209.9749   0.0048500  -0.0170459   -5.1299e-04      5.9550
 12       250.9584   0.0236411   0.0517974    4.1421e-04     29.5901
 13       291.2291   0.0498237   0.0189549    8.7650e-05     20.2325
 14       244.3581  -0.0036950  -0.0291568   -1.3200e-05     10.5669
 15       235.3462   0.0327177   0.0161154    2.1064e-04     19.4020
 16       315.4128   0.0698796   0.0682045    4.1826e-04     25.0434
 17       348.2779   0.0415534   0.0681923    3.5500e-04      5.6704
 24       -19.5575   0.0459652  -0.0240220    5.2360e-05     19.3190
 25       330.9117   0.0936679  -0.0013329   -2.2611e-04     22.0457
 26       287.1863   0.0678082   0.0026113   -1.4992e-04     23.9279
 27       267.4170   0.0559304   0.0155010    4.8830e-05     26.2582
 28       205.7363   0.0460435  -0.0161905   -9.2800e-05     36.7624
 29       292.5816   0.0849162   0.0601907    1.1869e-03     34.4110
 30       419.4959   0.1049291   0.0052621   -4.3170e-04     36.0223
 31       377.6775  -0.0401837  -0.0215199   -2.2409e-04     30.7004
 32       556.3944   0.1343501  -0.0086881   -4.7841e-04     48.2989
 33       349.9409   0.7193666   0.0848567   -7.4244e-04     10.6790
 34       390.2446   0.7584218   0.0793047   -4.4735e-04      5.6645
 35       443.8712   0.7007226   0.0495968   -1.8153e-04      2.0869
 36       488.0819   0.7560824   0.1301320   -6.8991e-04      3.7778
 37       361.4775   0.4418437   0.0140159   -1.2166e-03     25.6584
 38       146.4836   0.1084964   0.0125082    2.0592e-04     11.6284
 39       820.7118   0.2869731   0.0413490    1.7590e-05     46.7680
 40       321.1759   0.2519212   0.0183404   -4.4164e-04     13.2571
 41       441.4388   0.3617760  -0.0506419   -9.0065e-04     73.7444
 42       223.0992   0.1937667   0.0171780   -4.0860e-05     20.5722
 43       126.2952  -0.1027252  -0.0005820    2.3625e-04      6.0178
 44      1080.3139   1.0741000   0.1999042    3.9873e-04     40.3909
 45       636.2020   0.3557381   0.0757089    4.3592e-04     42.6733
 46       642.0427   0.3505184   0.0580782    1.0266e-04     36.1286
 47      1142.6119   0.2928046   0.1091930    4.3290e-05     42.6733
 48      1052.6072   0.2692470   0.1021024    5.1720e-05     64.3506
 49      1364.5333   0.7369540   0.0733352   -2.8960e-05     51.4951
 50      1487.4109   1.2160700   0.0744976   -4.2974e-04     44.1800
 51       618.9782   0.2558480   0.0561572    1.1900e-05     30.9229
 52       553.8090   0.2529059   0.0442000   -2.3615e-04     25.5034
 57       719.2462   0.2261873   0.1171330    5.1666e-04     43.7983
 58       475.7958   0.0864601   0.0451531    7.1581e-04     34.1240
 59       586.1413   0.2242238   0.0451531    7.1581e-04     34.1240
 60       500.2434   0.1349382   0.0679821   -6.2791e-04     51.0710
 61       412.6276   0.0342541   0.0454406    9.6413e-04     48.1957
 62       475.9623   0.0974210   0.0564059    3.4731e-04     34.1240
 63       512.2893   0.2066665  -0.0199737   -2.2718e-04     40.9263
 64       422.2307   0.1280247   0.0360883    2.4489e-04     29.8612
 65        37.1936   0.0488839   0.0104146   -5.4030e-05      4.7476
 68       866.5843   0.3758217   0.0826239   -5.0929e-04     34.8472
 69       821.4141   0.2382066   0.0826239   -5.0929e-04     34.8472
 72       920.3617   0.6035347   0.0951321   -3.0337e-04     46.4756
 76      1251.2675   0.6813525   0.1643355    4.0458e-04     73.4742
 77       778.9151   0.5641116   0.1163479    1.1988e-03     65.3339
 79       879.7062   0.3182350   0.0972830    2.8220e-05     52.8789
 88       957.6388   0.1085277   0.0247302   -1.0245e-03     64.4616
 89       928.9954   0.2137165   0.0247302   -1.0245e-03     64.4616
 90       560.1024   0.1831130   0.0384681   -4.0133e-04     20.0440
 92       606.1797   0.1583258   0.0636504   -5.0403e-04     28.7127
 94       273.1755   0.1867950   0.0250164    4.1184e-04     23.2568
 96      2082.3288   0.5951778   0.2207414    7.5189e-04    107.5982
 97       201.3224   0.2687081   0.0273441   -4.3834e-04     29.3068
103      1573.3769   0.6602247   0.0972830    2.8220e-05     52.8789
301       774.7500   0.8884200   0.0621050    2.4390e-05     13.7153
302      1110.6400   0.9260200   0.1565082    6.0465e-04    155.6284
303      1467.2000   0.5190000   0.1708410    1.3255e-04     89.1489
