# group     bp         vp        temp         pressure      volume
118       40.4205  -0.0159694  -0.0356113    1.0934e-04     2.8889
119      -82.2328   0.0343545   0.0321829    7.3149e-04    -3.8033
120     -247.8893   0.0025030   0.0114437    4.1439e-04    27.5326
121      -20.3996  -0.0833326  -0.0013023    4.3870e-05     1.5807
122       15.4720  -0.0644854  -0.0343037   -4.2678e-04    -2.6235
123     -172.4201  -0.1259208  -0.0013798    4.8944e-04    -5.3091
124      -99.8035  -0.0472962  -0.0027180    2.8103e-04    -6.1909
125      -62.3740   0.0339765   0.0113251   -3.0350e-05     3.2219
126      -40.0058  -0.0070982  -0.0047516    9.3000e-06    -6.3900
127      -27.2705  -0.0450531   0.0012823    7.0610e-05    -3.5964
128       -3.5075  -0.0032036   0.0067099   -7.2460e-05     1.5196
129       16.1061   0.0000000  -0.0338201    0.0000e+00     0.0000
130       25.8348  -0.0206706  -0.0184815   -8.8457e-04    -4.6483
131       35.8330  -0.0363170  -0.0236024   -2.2542e-04    -5.0563
132       51.9098  -0.0011994  -0.0245802   -3.2460e-04    -6.3267
133      111.8372   0.1237433  -0.0356113   -5.3113e-04     4.9392
