# group  coefficient
  1       21.98
  2       24.22
  3       26.44
  4       11.86
  5       21.66
  6        4.50
  7       11.12
  8       16.44
  9       27.95
 10       28.03
 11       23.58
 12       28.19
 13       28.53
 14       30.76
 16       21.71
 17       32.99
 19       88.46
 20       80.63
 21       69.32
 22       70.48
 23       25.16
 24       32.98
 25      127.96
 26       83.38
 27       71.53
 28       94.76
 29       78.85
 30      172.49
 31      169.83
 32      230.39
 33      225.09
 34      246.13
 35      142.77
 36      180.22
 37       61.98
 38       86.63
 39       45.28
 40       65.50
 41       25.78
 42       32.77
 54      113.99
 55      119.16
 56       95.43
 57        0.13
 58       -7.81
 60       62.63
 61       49.41
 62       36.23
 63       36.79
 64       76.28
 65       61.85
 66      111.67
 67       99.93
101      112.10
102      106.27
103       34.08
104       28.71
105      147.17
106      155.29
